scenario_id,historical_run_id,new_run_id,historical_model,new_model,jaccard,historical_selected,new_selected
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r1,stgc30b-djangocms-external-validity-002-impact_plan_v2-r1,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r1,stgc30b-djangocms-external-validity-002-impact_plan_v2-r2,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r1,stgc30b-djangocms-external-validity-002-impact_plan_v2-r3,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r1,stgc30b-djangocms-external-validity-002-impact_plan_v2-r4,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r1,stgc30b-djangocms-external-validity-002-impact_plan_v2-r5,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r2,stgc30b-djangocms-external-validity-002-impact_plan_v2-r1,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r2,stgc30b-djangocms-external-validity-002-impact_plan_v2-r2,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r2,stgc30b-djangocms-external-validity-002-impact_plan_v2-r3,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r2,stgc30b-djangocms-external-validity-002-impact_plan_v2-r4,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
djangocms-external-validity-002,stgc-v2-djangocms-external-validity-002-impact_plan_v2-r2,stgc30b-djangocms-external-validity-002-impact_plan_v2-r5,qwen/qwen3-coder,qwen/qwen3-coder-30b-a3b-instruct,0.333333,"[""cms/api.py"", ""cms/models/contentmodels.py"", ""cms/utils/page.py""]","[""cms/api.py""]"
